label,distance_label,object_state,mask_area,target_z,floor_margin,mask_norm,timestamp
bottle,2.0,elevated,945,3.722,-0.2701,0.936757,1783400788.214
bottle,2.0,elevated,2941,2.047,1.4049,0.881854,1783400788.798
bottle,2.0,elevated,930,3.7184,-0.2665,0.920139,1783400788.803
bottle,2.0,elevated,2944,2.0475,1.4044,0.883148,1783400789.387
bottle,2.0,elevated,934,3.719,-0.267,0.924349,1783400789.392
bottle,2.0,elevated,2940,2.0466,1.4053,0.881176,1783400790.01
bottle,2.0,elevated,927,3.7186,-0.2667,0.917235,1783400790.015
bottle,2.0,elevated,2945,2.0488,1.4031,0.884603,1783400790.6
bottle,2.0,elevated,925,3.7173,-0.2653,0.914611,1783400790.604
bottle,2.0,elevated,2942,2.0466,1.4053,0.881803,1783400791.197
bottle,2.0,elevated,934,3.7195,-0.2676,0.924634,1783400791.202
bottle,2.0,elevated,2947,2.0477,1.4042,0.884227,1783400791.834
bottle,2.0,elevated,935,3.7215,-0.2696,0.92661,1783400791.839
bottle,2.0,elevated,2939,2.0494,1.4025,0.883329,1783400792.438
bottle,2.0,elevated,948,3.7219,-0.27,0.939708,1783400792.443
bottle,2.0,elevated,2943,2.0488,1.4031,0.883956,1783400793.038
bottle,2.0,elevated,939,3.7201,-0.2681,0.929854,1783400793.043
bottle,2.0,elevated,2944,2.0485,1.3848,0.884049,1783400793.944
bottle,2.0,elevated,936,3.6498,-0.2164,0.892203,1783400793.949
bottle,2.0,elevated,2937,2.0467,1.3867,0.880389,1783400794.537
bottle,2.0,elevated,940,3.6494,-0.2161,0.895838,1783400794.545
bottle,2.0,elevated,2937,2.0467,1.3867,0.880389,1783400794.584
bottle,2.0,elevated,940,3.6494,-0.2161,0.895838,1783400794.59
bottle,2.0,elevated,2949,2.0486,1.3848,0.885622,1783400795.203
bottle,2.0,elevated,951,3.652,-0.2186,0.907577,1783400795.209
bottle,2.0,elevated,2941,2.0491,1.3842,0.883668,1783400795.807
bottle,2.0,elevated,936,3.6484,-0.215,0.891515,1783400795.813
bottle,2.0,elevated,2943,2.0475,1.3859,0.882812,1783400796.395
bottle,2.0,elevated,932,3.6454,-0.212,0.886233,1783400796.416
bottle,2.0,elevated,2936,2.0457,1.3877,0.879169,1783400797.045
bottle,2.0,elevated,930,3.6508,-0.2174,0.88697,1783400797.05
bottle,2.0,elevated,2939,2.0467,1.3867,0.880962,1783400797.664
bottle,2.0,elevated,926,3.6464,-0.213,0.881011,1783400797.672
bottle,2.0,elevated,2939,2.0467,1.3867,0.880962,1783400797.722
bottle,2.0,elevated,926,3.6464,-0.213,0.881011,1783400797.729
bottle,2.0,elevated,2939,2.0467,1.3867,0.880962,1783400797.795
bottle,2.0,elevated,926,3.6464,-0.213,0.881011,1783400797.801
bottle,2.0,elevated,2950,2.0627,1.3969,0.898143,1783400798.705
