timestamp,label,z_val_m,real_w_cm,real_h_cm,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
19:39:10.639,person,0.4876,20.32,35.65,-0.3214,-0.1787,-0.1182,-0.1787,-0.3214,0.1778,-0.1182,0.1778
19:39:10.970,person,0.8278,62.28,60.94,-0.2658,-0.3076,0.357,-0.3076,-0.2658,0.3018,0.357,0.3018
19:39:10.971,cell phone,0.509,10.29,18.94,-0.1397,-0.0377,-0.0368,-0.0377,-0.1397,0.1518,-0.0368,0.1518
19:39:11.304,person,0.8164,63.03,60.1,-0.2706,-0.3033,0.3597,-0.3033,-0.2706,0.2977,0.3597,0.2977
19:39:11.305,cell phone,0.4995,9.89,18.7,-0.1335,-0.0349,-0.0346,-0.0349,-0.1335,0.1521,-0.0346,0.1521
19:39:11.648,person,0.8259,62.23,60.71,-0.2601,-0.3077,0.3622,-0.3077,-0.2601,0.2994,0.3622,0.2994
19:39:11.648,cell phone,0.5495,10.99,21.25,-0.1468,-0.0361,-0.0369,-0.0361,-0.1468,0.1764,-0.0369,0.1764
19:39:11.649,baseball bat,0.6132,11.89,20.86,0.2302,-0.0333,0.349,-0.0333,0.2302,0.1753,0.349,0.1753
19:39:11.976,person,0.8163,56.77,60.09,-0.2071,-0.3033,0.3605,-0.3033,-0.2071,0.2976,0.3605,0.2976
19:39:11.976,baseball bat,0.5241,10.1,17.82,0.1972,-0.0268,0.2983,-0.0268,0.1972,0.1514,0.2983,0.1514
19:39:12.304,person,0.7644,55.14,56.27,-0.213,-0.284,0.3384,-0.284,-0.213,0.2787,0.3384,0.2787
19:39:12.304,baseball bat,0.5301,10.16,17.97,0.2001,-0.0271,0.3017,-0.0271,0.2001,0.1526,0.3017,0.1526
19:39:12.638,person,0.7593,54.93,55.97,-0.2139,-0.2821,0.3354,-0.2821,-0.2139,0.2776,0.3354,0.2776
19:39:12.638,baseball bat,0.5105,9.84,17.26,0.1921,-0.0261,0.2905,-0.0261,0.1921,0.1464,0.2905,0.1464
19:39:12.978,person,0.7793,63.32,57.29,-0.2745,-0.2888,0.3587,-0.2888,-0.2745,0.2842,0.3587,0.2842
